system:time_start,NDWI
"Mar 22, 1985",-0.011
"Feb 14, 1995",-0.017
"Dec 31, 1995",0.009
"Aug 30, 1997",-0.01
"Jan 29, 2001",-0.02
"Jan 11, 2003",-0.003
"Jan 30, 2004",-0.012
"Feb 7, 2007",-0.018
"Feb 23, 2007",-0.015
"Sep 24, 2009",-0.046
"Dec 13, 2009",-0.002
"Dec 29, 2009",0.004
"Jan 14, 2010",-0.003
"Jan 17, 2011",-0.01
"Mar 27, 2013",-0.007
"Jan 4, 2015",-0.101
"Jan 15, 2016",-0.017
"Mar 17, 2018",-0.107
"Aug 16, 2018",-0.029
"Sep 17, 2018",-0.015
"Dec 30, 2018",-0.103
"Jan 10, 2020",0.003
"Feb 11, 2020",-0.004
"Sep 22, 2020",0.007
"Dec 14, 2021",0.002
